,Serie,Date,Value
17309,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-10-30,3745.0
17310,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-10-31,59936.0
17311,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-10-31,4.0
17312,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-10-31,3745.0
17313,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-11-03,58336.0
17314,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-11-03,3.0
17315,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-11-03,3745.0
17316,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-11-13,49263.0
17317,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-11-13,3.0
17318,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-11-13,3745.0
17319,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-11-14,56528.0
17320,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-11-14,4.0
17321,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-11-14,3745.0
17322,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-11-15,61098.0
17323,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-11-15,6.0
17324,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-11-15,3745.0
17325,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-11-16,57860.0
17326,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-11-16,3.0
17327,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-11-16,3745.0
17328,Display-Direct Buy-NA-NA-AdWeek-Impressions,2023-11-17,59450.0
17329,Display-Direct Buy-NA-NA-AdWeek-Clicks,2023-11-17,1.0
17330,Display-Direct Buy-NA-NA-AdWeek-Spend,2023-11-17,3745.0
17331,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-01,252.0
17332,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-01,548.39
